ICAO Code,IATA Code,Airport Name,City/Town,Country,Latitude Degrees,Latitude Minutes,Latitude Seconds,Latitude Direction,Longitude Degrees,Longitude Minutes,Longitude Seconds,Longitude Direction,Altitude,Latitude Decimal Degrees,Longitude Decimal Degrees
CYXL,YXL,SIOUX LOOKOUT,SIOUX LOOKOUT,CANADA,50,6,52,N,91,54,15,W,391,50.114,-91.904
CYXN,YXN,,WHALE COVE,CANADA,0,0,0,U,0,0,0,U,0,0.0,0.0
CYXP,YXP,PANGNIRTUNG,PANGNIRTUNG,CANADA,66,8,42,N,65,42,49,W,23,66.145,-65.714
CYXR,YXR,TIMISKAMING RGNL,EARLTON,CANADA,47,41,42,N,79,50,56,W,244,47.695,-79.849
CYXS,YXS,PRINCE GEORGE,PRINCE GEORGE,CANADA,53,53,22,N,122,40,44,W,691,53.889,-122.679
CYXT,YXT,TERRACE,TERRACE,CANADA,54,27,59,N,128,34,39,W,218,54.466,-128.577
CYXU,YXU,LONDON,LONDON,CANADA,43,2,8,N,81,9,14,W,278,43.036,-81.154
CYXX,YXX,ABBOTSFORD,ABBOTSFORD,CANADA,49,1,31,N,122,21,48,W,58,49.025,-122.363
CYXY,YXY,WHITEHORSE INTERNATIONAL,WHITEHORSE,CANADA,60,42,34,N,135,4,6,W,707,60.709,-135.068
CYYB,YYB,NORTH BAY,NORTH BAY,CANADA,46,21,49,N,79,25,22,W,371,46.364,-79.423
CYYC,YYC,CALGARY INTERNATIONAL,CALGARY,CANADA,51,6,50,N,114,1,13,W,1085,51.114,-114.02
CYYD,YYD,SMITHERS,SMITHERS,CANADA,54,49,29,N,127,10,58,W,522,54.825,-127.183
CYYE,YYE,FORT NELSON,FORT NELSON,CANADA,58,50,11,N,122,35,49,W,382,58.836,-122.597
CYYF,YYF,PENTICTON,PENTICTON,CANADA,49,27,46,N,119,36,8,W,345,49.463,-119.602
CYYG,YYG,CHARLOTTETOWN,CHARLOTTETOWN,CANADA,46,17,24,N,63,7,16,W,49,46.29,-63.121
CYYH,YYH,TALOYOAK,SPENCE BAY,CANADA,69,32,48,N,93,34,36,W,29,69.547,-93.577
CYYJ,YYJ,VICTORIA INTERNATIONAL,VICTORIA,CANADA,48,38,49,N,123,25,33,W,20,48.647,-123.426
CYYL,YYL,LYNN LAKE,LYNN LAKE,CANADA,56,51,50,N,101,4,34,W,357,56.864,-101.076
CYYN,YYN,SWIFT CURRENT,SWIFT CURRENT,CANADA,50,17,31,N,107,41,26,W,817,50.292,-107.691
CYYQ,YYQ,CHURCHILL,CHURCHILL,CANADA,58,44,21,N,94,3,54,W,29,58.739,-94.065
CYYR,YYR,GOOSE BAY,GOOSE BAY,CANADA,53,19,9,N,60,25,33,W,49,53.319,-60.426
CYYT,YYT,ST JOHNS INTERNATIONAL,ST. JOHN'S,CANADA,47,37,7,N,52,45,7,W,141,47.619,-52.752
CYYU,YYU,KAPUSKASING,KAPUSKASING,CANADA,49,24,50,N,82,28,3,W,227,49.414,-82.468
CYYW,YYW,ARMSTRONG,ARMSTRONG,CANADA,50,17,25,N,88,54,35,W,323,50.29,-88.91
CYYY,YYY,MONT JOLI,MONT JOLI,CANADA,48,36,31,N,68,12,29,W,53,48.609,-68.208
CYYZ,YYZ,LESTER B PEARSON INTERNATIONAL,TORONTO,CANADA,43,40,38,N,79,37,50,W,174,43.677,-79.631
CYZA,,,ASHCROFT,CANADA,0,0,0,U,0,0,0,U,0,0.0,0.0
CYZD,YZD,DOWNSVIEW,TORONTO,CANADA,43,44,33,N,79,27,56,W,199,43.742,-79.466
CYZE,YZE,GORE BAY MANITOULIN,GORE BAY,CANADA,45,53,7,N,82,34,4,W,194,45.885,-82.568
CYZF,YZF,YELLOWKNIFE,YELLOWKNIFE,CANADA,62,27,46,N,114,26,25,W,206,62.463,-114.44
CYZH,YZH,SLAVE LAKE,SLAVE LAKE,CANADA,55,17,36,N,114,46,42,W,583,55.293,-114.778
CYZP,YZP,SANDSPIT,SANDSPIT,CANADA,53,15,15,N,131,48,50,W,7,53.254,-131.814
CYZR,YZR,CHRIS HADFIELD,SARNIA,CANADA,42,59,58,N,82,18,32,W,182,42.999,-82.309
CYZT,YZT,PORT HARDY,PORT HARDY,CANADA,50,40,50,N,127,22,0,W,22,50.681,-127.367
CYZU,YZU,WHITECOURT,WHITECOURT,CANADA,54,8,38,N,115,47,12,W,783,54.144,-115.787
CYZV,YZV,SEPT ILES,SEPT-ILES,CANADA,50,13,24,N,66,15,56,W,55,50.223,-66.266
CYZW,YZW,TESLIN,TESLIN,CANADA,60,10,22,N,132,44,34,W,706,60.173,-132.743
CYZX,YZX,GREENWOOD,GREENWOOD,CANADA,44,59,4,N,64,55,1,W,29,44.984,-64.917
CZFA,ZFA,FARO,FARO,CANADA,62,12,27,N,133,22,33,W,717,62.208,-133.376
CZFM,ZFM,FORT MCPHERSON,FORT MCPHERSON,CANADA,67,24,28,N,134,51,37,W,44,67.408,-134.86
CZNB,,,NORTH BAY,CANADA,0,0,0,U,0,0,0,U,0,0.0,0.0
CZUE,,,CAPE PARRY,CANADA,0,0,0,U,0,0,0,U,0,0.0,0.0
DAAB,,BLIDA,BLIDA,ALGERIA,36,30,13,N,2,48,51,E,164,36.504,2.814
DAAD,,BOU SAADA,BOU SAADA,ALGERIA,35,19,57,N,4,12,23,E,460,35.333,4.206
DAAE,BJA,SOUMMAM,BEJAJA,ALGERIA,36,42,43,N,5,4,11,E,7,36.712,5.07
DAAF,,,AOULEF,ALGERIA,0,0,0,U,0,0,0,U,0,0.0,0.0
DAAG,ALG,HOUARI BOUMEDIENE,ALGIER,ALGERIA,36,41,27,N,3,12,55,E,25,36.691,3.215
DAAJ,DJG,TISKA,DJANET,ALGERIA,24,17,33,N,9,27,8,E,969,24.293,9.452
DAAK,,BOUFARIK,BOUFARIK,ALGERIA,36,32,45,N,2,52,34,E,103,36.546,2.876
DAAM,,TELERGHMA,TELERGMA,ALGERIA,36,6,31,N,6,21,52,E,758,36.109,6.364
DAAN,,REGGANE,REGGAN,ALGERIA,26,42,36,N,0,17,8,E,292,26.71,0.286
DAAP,VVZ,ILLIZI,ILLIZI,ALGERIA,26,34,24,N,8,29,1,E,542,26.573,8.484
DAAQ,,AIN OUSSERA,AIN OUSSERA,ALGERIA,35,31,31,N,2,52,43,E,650,35.525,2.879
DAAS,GSF,SETIF AIN ARNAT,SETIF,ALGERIA,36,10,41,N,5,19,28,E,1025,36.178,5.324
DAAT,TMR,TAMANRASSET,TAMANRASSET,ALGERIA,22,48,39,N,5,27,3,E,1378,22.811,5.451
DAAV,GJL,JIJEL,JIJEL,ALGERIA,36,47,42,N,5,52,24,E,11,36.795,5.873
DAAW,,,BORDJ OMAR DRISS,ALGERIA,0,0,0,U,0,0,0,U,0,0.0,0.0
DAAX,,,CHERAGAS,ALGERIA,0,0,0,U,0,0,0,U,0,0.0,0.0
DAAY,,MECHERIA,MECHERIA,ALGERIA,33,32,9,N,0,14,32,W,1176,33.536,-0.242
